conversation_id_str,created_at,favorite_count,Tweet,Tweet_clean,predicted_sentiment
1844695415763120259,Fri Oct 11 23:56:01 +0000 2024,1,@FIFAWorldCup Hai FIFA ....kami Indonesia dan kami adalah tim yang paling berkembang dan energik di Asia tanpa bergantung pada wasit atau permainan kasar tidak seperti tim dari timur tengah dan anda diam melihat hal tsb tidak melakukan apapun padahal sepak bola adl. Tentang fair play,hai fifa kami indonesia dan ada tim yang paling kembang energik di asia tanpa gantung pada wasit atau main kasar tidak seperti dari timur tengah anda diam lihat hal tsb laku apa padahal sepak bola adl tentang fair play,negative
1844694787213148515,Fri Oct 11 23:55:47 +0000 2024,0,@emhendraka Nek ra itungan ngko koyo wasit soko oman kae,nek ra itungan ngko koyo wasit soko om kae,negative
1844531990332309949,Fri Oct 11 23:55:34 +0000 2024,0,@SiaranBolaLive Tak kasi sambel matanya ini wasit dajal..biar sekalian gk liat waktu..,tak kasi sambel mata ini wasit dajal biar sekali gk liat waktu,negative
1840157006612558197,Fri Oct 11 23:55:14 +0000 2024,0,@fifamedia Hai FIFA ....kami Indonesia ....kami adalah tim yang paling berkembang dan energik di Asia tanpa bergantung pada wasit atau permainan kasar tidak seperti tim dari timur tengah dan anda diam melihat hal tsb tidak melakukan apapun padahal sepak bola adl. Tentang fair play,hai fifa kami indonesia ada tim yang paling kembang dan energik di asia tanpa gantung pada wasit atau main kasar tidak seperti dari timur tengah anda diam lihat hal tsb laku apa padahal sepak bola adl tentang fair play,negative
1844453665631031328,Fri Oct 11 23:55:00 +0000 2024,0,@yellowsea_sun @idextratime Kenapa bisa lolos jadi wasit ya??? @FIFAcom @FIFAWorldCup @fifamedia #Chicken #Stupid #Rubbish #SOS,kenapa bisa lolos jadi wasit ya chicken stupid rubbish sos,neutral
1844792632402153978,Fri Oct 11 23:54:56 +0000 2024,12,@kanalcasn @unmagnetism Badan gede brewokan tp senggol dikit guling² langsung ngadu wasit. Besok² gk usah main bola main bekel aja kalian ,badan gede brewokan tp senggol dikit guling langsung ngadu wasit besok gk usah main bola bekel aja kalian,negative
1844889407926784392,Fri Oct 11 23:54:45 +0000 2024,0,Alasan kenapa Kantor AFC di Qatar Ketua nya juga selalu dikuasai orang Timur Tengah ? Ya karena mereka tahu orang Arab itu tak bisa bermain bola tahunya cuma gunakan uangnya sogok Wasit main akting guling-guling kaya kecoa terlentang.,alas kenapa kantor afc di qatar ketua nya juga selalu asai orang timur tengah ya karena mereka tahu arab itu tak bisa main bola tahu cuma guna uang sogok wasit main akting guling kaya kecoa lentang,negative
1844889394265850331,Fri Oct 11 23:54:42 +0000 2024,0,Padahal wasit diurang ti baheula tipikal na loba anu Kitu Oge hahaa hahaha,padahal wasit diurang ti baheula tipikal na loba anu kitu oge hahaa hahaha,positive
1844858543947862272,Fri Oct 11 23:54:34 +0000 2024,0,@allaboutcaee hahaha meresahkan botak wasit,hahaha resah botak wasit,positive
1844889189516705976,Fri Oct 11 23:53:53 +0000 2024,0,Sebenci2nya gue sama wasit tapi kalo orang ini kesel juga sama wasit gue lebih benci orang ini dari si wasitnya. Ngaca ya anjeng Mulyono bapaknya fufufafa! Berapa kali lu nabrak konstitusi demi keluarga lo yang langa longo?,sebenci2nya gue sama wasit tapi kalo orang ini kesel juga lebih benci dari si wasit ngaca ya anjeng mulyono bapak fufufafa berapa kali lu nabrak konstitusi demi keluarga lo yang langa longo,negative
1844878392656855261,Fri Oct 11 23:53:36 +0000 2024,0,@tvOneNews Curangnya wasit ikutan curangnya politik di Indonesia.. enak ga dicurangi,curang wasit ikut politik di indonesia enak ga curang,negative
1844889066233528321,Fri Oct 11 23:53:24 +0000 2024,0,Kalau wasit nya adil King Indo menang dengan mudah lawan negara panitia afc https://t.co/DNehcueto9,kalau wasit nya adil king indo menang dengan mudah lawan negara panitia afc,positive
1844600481555021888,Fri Oct 11 23:53:19 +0000 2024,0,@kegblgnunfaedh Emang GK ada wasit dari negara lain lagi kah selain dr timur tengah ini anjing,emang gk ada wasit dari negara lain lagi kah selain dr timur tengah ini anjing,negative
1844441077266485634,Fri Oct 11 23:53:02 +0000 2024,0,@kemalpalevi Wasit lu meninggoynya nelen pluit lu sit,wasit lu meninggoynya nelen pluit sit,negative
1844887963479703556,Fri Oct 11 23:49:01 +0000 2024,0,dari 11 pelanggaran cuma 3 yg layak pelanggaran emang wasit anjing #AFCMafia,dari 11 langgar cuma 3 yg layak emang wasit anjing afcmafia,negative
1844583355330986000,Fri Oct 11 23:48:47 +0000 2024,0,@ainurohman Itu negara2 Arab suruh buat federasi sendiri aja. AFF keluar aja dari AFC. Bayangin aja maen di VARain president federasinya dari VARain wasit assisten dan wasit var dari sub federasi yg sama arab semua kocak bgt,itu negara2 arab suruh buat federasi sendiri aja aff keluar dari afc bayangin maen di varain president federasi wasit assisten dan var sub yg sama semua kocak bgt,positive
1844887895355818319,Fri Oct 11 23:48:45 +0000 2024,0,https://t.co/h8sO7xlh4p Bahrain wasit FIFA Indonesia Baim Paula,bahrain wasit fifa indonesia baim paula,neutral
1844708455925637489,Fri Oct 11 23:48:43 +0000 2024,1,@fatimah_rusalka @strootsys Buat apa di lobby kan wasit ARAB ya wajib bela ARAB.,buat apa di lobby kan wasit arab ya wajib bela,negative
1844531990332309949,Fri Oct 11 23:48:27 +0000 2024,0,@SiaranBolaLive jangan lupa juga wasit var sikavorn pu udom dari thailan,jangan lupa juga wasit var sikavorn pu udom dari thailan,negative
1844455272028438935,Fri Oct 11 23:47:53 +0000 2024,0,@CryptoLibrarys Wasit bangsat.... undang dia jd wasit liga 1 indonesia . Sekuat apa apa dia.,wasit bangsat undang dia jd liga 1 indonesia kuat apa,negative
